"_","Id","Name","LearningCourseId","LearningCourse","LearningCourse.Name","HCG_External_ID__c"
"[CourseOffering]","0P0O40000000IT0KAM","215 - History of Paris in Architecture and Art","0vYO40000000IGzMAM","[LearningCourse]","History of Paris in Architecture and Art","2055908"
"[CourseOffering]","0P0O40000000IT1KAM","215 - History of Paris in Architecture and Art","0vYO40000000IGzMAM","[LearningCourse]","History of Paris in Architecture and Art","2055910"
"[CourseOffering]","0P0O40000000IT2KAM","250 - Art and Design in the Roaring Twenties: From Art Nouveau to Art Deco","0vYO40000000IJwMAM","[LearningCourse]","Art and Design in the Roaring Twenties: From Art Nouveau to Art Deco","2055913"
"[CourseOffering]","0P0O40000000IT3KAM","315 - Revolutionizing Art by Breaking the Rules: From Manet to the Surrealists","0vYO40000000Iw5MAE","[LearningCourse]","Revolutionizing Art by Breaking the Rules: From Manet to the Surrealists","2055919"
"[CourseOffering]","0P0O40000000IT4KAM","320 - 19th Century Art: Impressionism and Post-Impressionism","0vYO40000000IH0MAM","[LearningCourse]","19th Century Art: Impressionism and Post-Impressionism","2055923"
"[CourseOffering]","0P0O40000000IT5KAM","320 - Media and Current Affairs in France and the European Union","0vYO40000000IJQMA2","[LearningCourse]","Media and Current Affairs in France and the European Union","2055930"
"[CourseOffering]","0P0O40000000IT6KAM","325 - French Conversation and Current Events","0vYO40000000IJRMA2","[LearningCourse]","French Conversation and Current Events","2055934"
"[CourseOffering]","0P0O40000000IT7KAM","330 - Media, Politics, and Political Communication in the U.S. and France","0vYO40000000IJSMA2","[LearningCourse]","Media, Politics, and Political Communication in the U.S. and France","2055938"
"[CourseOffering]","0P0O40000000IT8KAM","220 - Art, Design and Fashion in France","0vYO40000000IJTMA2","[LearningCourse]","Art, Design and Fashion in France","2055942"
"[CourseOffering]","0P0O40000000IT9KAM","220 - Art, Design and Fashion in France","0vYO40000000IJTMA2","[LearningCourse]","Art, Design and Fashion in France","2055945"
"[CourseOffering]","0P0O40000000ITAKA2","340 - Economic Integration and European Markets","0vYO40000000IJVMA2","[LearningCourse]","Economic Integration and European Markets","2055949"
"[CourseOffering]","0P0O40000000ITBKA2","350 - The International Political Economy of Trade Conflicts: Trade Regimes, Value Chains, and Power Dynamics","0vYO40000000Iw6MAE","[LearningCourse]","The International Political Economy of Trade Conflicts: Trade Regimes, Value Chains, and Power Dynamics","2055952"
"[CourseOffering]","0P0O40000000ITCKA2","101 - French Language in Context: Novice Abroad I","0vYO40000000IJXMA2","[LearningCourse]","French Language in Context: Novice Abroad I","2055955"
"[CourseOffering]","0P0O40000000ITDKA2","101 - French Language in Context: Novice Abroad I","0vYO40000000IJXMA2","[LearningCourse]","French Language in Context: Novice Abroad I","2055958"
"[CourseOffering]","0P0O40000000ITEKA2","101 - French Language in Context: Novice Abroad I","0vYO40000000IJXMA2","[LearningCourse]","French Language in Context: Novice Abroad I","2055961"
"[CourseOffering]","0P0O40000000ITFKA2","201 - French Language in Context: Novice Abroad III","0vYO40000000IJYMA2","[LearningCourse]","French Language in Context: Novice Abroad III","2055965"
"[CourseOffering]","0P0O40000000ITGKA2","301 - French Language in Context: Emerging Independent Abroad I","0vYO40000000IJZMA2","[LearningCourse]","French Language in Context: Emerging Independent Abroad I","2055969"
"[CourseOffering]","0P0O40000000ITHKA2","301 - French Language in Context: Emerging Independent Abroad I","0vYO40000000IJZMA2","[LearningCourse]","French Language in Context: Emerging Independent Abroad I","2055972"
